
  100100,'',4000019,1,1,0,450458
 100100,'',2000000,1,1,0,36207
 100100,'',2040002,1,1,0,453
 100100,'',2041001,1,1,0,247
 100100,'',2060000,10,25,0,32859
 100100,'',4010000,1,1,0,18332
 100100,'',4020000,1,1,0,16849
 100100,'',2061000,10,25,0,24648
 100100,'',1002067,1,1,0,120
 100100,'',2010009,1,1,0,31883
 100101,'',4000000,1,1,0,426372
 100101,'',2041006,1,1,0,748
 100101,'',2000000,1,1,0,43189
 100101,'',4020001,1,1,0,19493
 100101,'',2060000,10,25,0,37837
 100101,'',4010001,1,1,0,16050
 100101,'',2061000,10,25,0,36821
 100101,'',1040013,1,1,0,430
 100101,'',1041012,1,1,0,114
 100101,'',1060004,1,1,0,322
 100101,'',1040017,1,1,0,46
 100101,'',1060013,1,1,0,390
 100101,'',2010009,1,1,0,38595
 1110100,'',4000012,1,1,0,444960
 1110100,'',2000000,1,1,0,39255
 1110100,'',2043102,1,1,0,315
 1110100,'',2000003,1,1,0,43178
 1110100,'',4020003,1,1,0,17659
 1110100,'',1322000,1,1,0,614
 1110100,'',2060000,10,25,0,34286
 1110100,'',1041044,1,1,0,491
 1110100,'',1061037,1,1,0,308
 1110100,'',4010004,1,1,0,17942
 1110100,'',1092008,1,1,0,185
 1110100,'',1041017,1,1,0,265
 1110100,'',1061012,1,1,0,215
 1110100,'',1462002,1,1,0,113
 1110100,'',2061000,10,25,0,23197
 1110100,'',1041063,1,1,0,338
 1110100,'',1061059,1,1,0,220
 1110100,'',1452003,1,1,0,235
 1110100,'',2048000,1,1,0,661
 1110100,'',1002033,1,1,0,93
 1110100,'',1302007,1,1,0,694
 1110100,'',4020002,1,1,0,16049
 1110100,'',1032001,1,1,0,27
 1110100,'',1002010,1,1,0,67
 1110100,'',2000001,1,1,0,47699
 1110100,'',1002143,1,1,0,35
 1110100,'',1432005,1,1,0,137
 1110100,'',1412012,1,1,0,263
 1110100,'',1072285,1,1,0,314
 1110100,'',1482001,1,1,0,58
 1110101,'',4000005,1,1,0,431475
 1110101,'',2000000,1,1,0,33950
 1110101,'',2040802,1,1,0,789
 1110101,'',1092003,1,1,0,217
 1110101,'',1002039,1,1,0,43
 1110101,'',1442000,1,1,0,153
